customerid,country,distinct_orders,revenue
15358,United Kingdom,22,"$8,347.20"
16333,United Kingdom,22,"$26,626.80"
12681,France,22,"$13,787.54"
16779,United Kingdom,22,"$10,629.72"
14560,United Kingdom,22,"$2,237.77"
12415,Australia,21,"$124,914.53"
17068,United Kingdom,21,"$4,552.14"
18041,United Kingdom,21,"$4,183.39"
16931,United Kingdom,21,"$4,604.22"
16814,United Kingdom,21,"$6,509.10"
13599,United Kingdom,21,"$5,153.67"
14194,United Kingdom,21,"$11,349.52"
13668,United Kingdom,21,"$6,363.59"
16729,United Kingdom,21,"$7,239.92"
16523,United Kingdom,21,"$9,418.47"
14688,United Kingdom,21,"$5,630.87"
17017,United Kingdom,20,"$8,694.26"
16672,United Kingdom,20,"$8,134.94"
14895,United Kingdom,20,"$11,138.71"
13881,United Kingdom,20,"$17,159.52"
18229,United Kingdom,20,"$7,276.90"
12621,Germany,20,"$13,689.67"
17377,United Kingdom,20,"$4,100.92"
18172,United Kingdom,20,"$7,561.68"
16558,United Kingdom,20,"$8,338.49"
16033,United Kingdom,20,"$8,816.40"
17865,United Kingdom,20,"$10,526.32"
16705,United Kingdom,20,"$14,034.99"
13267,United Kingdom,19,"$4,521.49"
14060,United Kingdom,19,"$6,140.42"
14397,United Kingdom,19,"$2,612.96"
16923,United Kingdom,19,"$7,247.61"
16161,United Kingdom,19,"$5,575.56"
17576,United Kingdom,19,"$3,622.68"
16945,United Kingdom,19,"$4,345.50"
17735,United Kingdom,19,"$13,110.02"
15838,United Kingdom,19,"$33,643.08"
14031,United Kingdom,19,"$17,286.86"
15513,United Kingdom,19,"$14,758.22"
17306,United Kingdom,19,"$8,631.31"
15465,United Kingdom,18,"$7,354.62"
12474,Germany,18,"$7,375.79"
16210,United Kingdom,18,"$21,086.30"
15290,United Kingdom,18,"$7,943.22"
13004,United Kingdom,18,"$5,655.91"
14085,United Kingdom,18,"$4,448.54"
12437,France,18,"$4,951.41"
13969,United Kingdom,18,"$9,053.94"
16746,United Kingdom,18,"$6,697.66"
16458,United Kingdom,18,"$3,482.74"
14562,United Kingdom,18,"$5,074.77"
14534,United Kingdom,18,"$4,447.05"
13418,United Kingdom,18,"$6,127.43"
13576,United Kingdom,18,"$6,717.34"
14057,United Kingdom,17,"$6,217.96"
14702,United Kingdom,17,"$3,292.14"
18241,United Kingdom,17,"$2,073.09"
17920,United Kingdom,17,"$4,204.10"
13050,United Kingdom,17,"$5,836.86"
16928,United Kingdom,17,"$2,847.60"
18198,United Kingdom,17,"$5,425.56"
16626,United Kingdom,17,"$4,413.10"
14096,United Kingdom,17,"$65,164.79"
14796,United Kingdom,17,"$8,022.49"
15144,United Kingdom,17,"$6,580.44"
16745,United Kingdom,17,"$7,194.30"
15805,United Kingdom,17,"$5,528.48"
15044,United Kingdom,17,"$7,700.23"
12540,Spain,17,"$13,400.24"
17238,United Kingdom,17,"$3,744.65"
17706,United Kingdom,17,"$10,504.49"
14217,United Kingdom,17,"$2,004.98"
14543,United Kingdom,16,"$3,630.33"
14680,United Kingdom,16,"$28,754.11"
15187,United Kingdom,16,"$4,777.18"
14367,United Kingdom,16,"$9,261.52"
16592,United Kingdom,16,"$4,113.68"
15555,United Kingdom,16,"$4,805.17"
18283,United Kingdom,16,"$2,094.88"
16843,United Kingdom,16,"$10,196.57"
16011,United Kingdom,16,"$3,362.71"
16904,United Kingdom,16,"$3,754.27"
15738,United Kingdom,16,"$4,812.42"
14135,United Kingdom,15,"$4,690.31"
15271,United Kingdom,15,"$2,507.07"
17719,United Kingdom,15,"$5,396.04"
14189,United Kingdom,15,"$4,654.08"
16656,United Kingdom,15,"$8,625.80"
12931,United Kingdom,15,"$42,055.96"
12709,Germany,15,"$9,736.52"
15640,United Kingdom,15,"$12,515.66"
15125,United Kingdom,15,"$11,528.48"
12989,United Kingdom,15,"$6,924.11"
16187,United Kingdom,15,"$6,911.44"
17346,United Kingdom,15,"$2,676.56"
15939,United Kingdom,15,"$6,115.01"
15194,United Kingdom,15,"$7,616.53"
16713,United Kingdom,15,"$6,923.13"
14282,United Kingdom,15,"$3,729.34"
17404,Sweden,15,"$31,906.82"
12683,France,15,"$8,476.57"
12583,France,15,"$7,281.38"
15291,United Kingdom,15,"$4,668.30"
17611,United Kingdom,15,"$3,984.22"
15046,United Kingdom,15,"$5,213.77"
13695,United Kingdom,15,"$2,504.13"
13269,United Kingdom,15,"$5,346.23"
17690,United Kingdom,15,"$4,757.95"
15867,United Kingdom,15,"$3,812.64"
13985,United Kingdom,15,"$7,060.13"
14092,United Kingdom,14,"$4,076.91"
15547,United Kingdom,14,"$4,954.84"
17613,United Kingdom,14,"$4,559.15"
15694,United Kingdom,14,"$6,479.40"
17220,United Kingdom,14,"$3,198.25"
18223,United Kingdom,14,"$6,484.54"
13230,United Kingdom,14,"$2,806.97"
13458,United Kingdom,14,"$9,646.57"
13756,United Kingdom,14,"$5,189.52"
13090,United Kingdom,14,"$8,910.82"
16607,United Kingdom,14,"$3,347.71"
16326,United Kingdom,14,"$3,110.96"
17790,United Kingdom,14,"$1,965.55"
15827,United Kingdom,14,"$1,836.09"
14607,United Kingdom,14,"$16,569.50"
18065,United Kingdom,14,"$2,392.83"
15955,United Kingdom,14,"$4,416.26"
15601,United Kingdom,14,"$6,776.56"
17965,United Kingdom,14,"$2,622.57"
12839,United Kingdom,14,"$5,591.42"
13880,United Kingdom,13,"$3,219.77"
16764,United Kingdom,13,"$2,799.25"
13488,United Kingdom,13,"$8,968.31"
14401,United Kingdom,13,"$4,051.48"
14088,United Kingdom,13,"$50,491.81"
12757,Portugal,13,"$7,857.10"
12712,Germany,13,"$4,396.13"
16393,United Kingdom,13,"$3,046.21"
15581,United Kingdom,13,"$3,679.97"
15249,United Kingdom,13,"$6,688.46"
15152,United Kingdom,13,"$4,745.69"
17975,United Kingdom,13,"$4,488.81"
14415,United Kingdom,13,"$5,900.28"
16782,United Kingdom,13,"$2,279.90"
14709,United Kingdom,13,"$4,921.04"
13013,United Kingdom,13,"$4,810.94"
16700,United Kingdom,13,"$5,076.55"
14191,United Kingdom,13,"$4,684.76"
13871,United Kingdom,13,"$6,403.25"
17730,United Kingdom,13,"$5,298.48"
16701,United Kingdom,13,"$5,398.30"
15804,United Kingdom,13,"$4,206.39"
15611,United Kingdom,13,"$1,591.45"
16241,United Kingdom,13,"$2,607.87"
16191,United Kingdom,13,"$5,180.52"
16722,United Kingdom,13,"$4,730.81"
17402,United Kingdom,13,"$2,633.85"
13709,United Kingdom,13,"$6,328.05"
15719,United Kingdom,13,"$5,045.61"
12431,Australia,13,"$5,514.67"
13001,United Kingdom,13,"$9,818.82"
13999,United Kingdom,12,"$3,901.81"
13266,United Kingdom,12,"$3,834.26"
15373,United Kingdom,12,"$2,415.91"
13742,United Kingdom,12,"$3,131.02"
17139,United Kingdom,12,"$10,668.47"
15482,United Kingdom,12,"$11,054.96"
15298,United Kingdom,12,"$4,799.90"
13148,United Kingdom,12,"$3,707.12"
18073,United Kingdom,12,"$3,877.52"
17954,United Kingdom,12,"$2,332.72"
13571,United Kingdom,12,"$2,092.32"
16401,United Kingdom,12,"$4,098.32"
12731,France,12,"$18,895.91"
14733,United Kingdom,12,"$9,585.91"
18144,United Kingdom,12,"$2,888.75"
15301,United Kingdom,12,"$5,070.35"
12647,Germany,12,"$3,722.82"
17858,United Kingdom,12,"$5,155.66"
14040,United Kingdom,12,"$3,614.92"
15570,United Kingdom,12,"$4,165.52"
17659,United Kingdom,12,"$2,999.46"
18225,United Kingdom,12,"$5,509.12"
15235,United Kingdom,12,"$2,247.51"
13552,United Kingdom,12,"$3,740.07"
14866,United Kingdom,12,"$14,389.90"
14944,United Kingdom,12,"$5,900.25"
17870,United Kingdom,12,"$1,894.35"
17652,United Kingdom,12,"$4,867.72"
12877,United Kingdom,12,"$1,535.77"
16553,United Kingdom,12,"$5,719.82"
16186,United Kingdom,12,"$4,006.94"
14825,United Kingdom,12,"$2,226.91"
14062,United Kingdom,12,"$10,464.85"
16678,United Kingdom,12,"$3,109.99"
13094,United Kingdom,12,"$1,927.32"
12678,France,12,"$17,628.46"
15971,United Kingdom,12,"$4,199.85"
14800,United Kingdom,12,"$4,339.74"
17809,United Kingdom,12,"$5,411.91"
17419,United Kingdom,12,"$4,226.57"
12395,Belgium,12,"$3,018.63"
15854,United Kingdom,12,"$2,974.65"
13983,United Kingdom,12,"$2,603.43"
15502,United Kingdom,12,"$10,384.93"
14110,United Kingdom,12,"$5,683.15"
13631,United Kingdom,11,"$3,070.42"
14776,United Kingdom,11,"$2,538.30"
14032,United Kingdom,11,"$2,975.59"
17364,United Kingdom,11,"$4,481.18"
12747,United Kingdom,11,"$4,196.01"
14713,United Kingdom,11,"$2,666.36"
13081,United Kingdom,11,"$28,337.38"
17340,United Kingdom,11,"$12,353.29"
16818,United Kingdom,11,"$3,349.57"
17716,United Kingdom,11,"$5,655.99"
15218,United Kingdom,11,"$5,756.89"
12662,Germany,11,"$3,849.78"
15251,United Kingdom,11,"$10,484.99"
12523,France,11,"$1,789.77"
17644,United Kingdom,11,"$2,895.64"
13178,United Kingdom,11,"$5,725.47"
13784,United Kingdom,11,"$2,462.79"
14952,United Kingdom,11,"$8,099.49"
14291,United Kingdom,11,"$3,883.25"
14711,United Kingdom,11,"$2,868.80"
13268,United Kingdom,11,"$3,214.69"
16919,United Kingdom,11,"$2,596.45"
17061,United Kingdom,11,"$5,232.23"
14239,United Kingdom,11,"$2,380.85"
14755,United Kingdom,11,"$5,010.28"
15058,United Kingdom,11,"$2,124.99"
16775,United Kingdom,11,"$1,695.66"
14099,United Kingdom,11,"$3,104.17"
18226,United Kingdom,11,"$5,228.05"
15529,United Kingdom,11,"$3,995.23"
14132,United Kingdom,11,"$3,586.03"
18077,United Kingdom,11,"$2,633.01"
16767,United Kingdom,11,"$5,580.60"
16837,United Kingdom,11,"$3,170.98"
15023,United Kingdom,11,"$6,802.76"
14462,United Kingdom,11,"$2,004.02"
12476,Germany,11,"$6,816.42"
16145,United Kingdom,11,"$3,799.49"
16912,United Kingdom,11,"$2,575.38"
13629,United Kingdom,11,"$7,792.36"
14810,United Kingdom,11,"$2,087.88"
12500,Germany,11,"$4,257.82"
16670,United Kingdom,11,"$4,095.90"
15514,United Kingdom,11,"$4,139.46"
16712,United Kingdom,11,"$3,645.43"
12955,United Kingdom,11,"$4,757.16"
15129,United Kingdom,11,"$3,447.40"
17725,United Kingdom,11,"$3,439.08"
14159,United Kingdom,11,"$4,693.01"
18092,United Kingdom,11,"$9,068.26"
17001,United Kingdom,11,"$3,989.57"
14502,United Kingdom,11,"$2,470.67"
13890,United Kingdom,10,"$1,883.81"
16549,United Kingdom,10,"$4,154.64"
12362,Belgium,10,"$5,226.23"
18219,United Kingdom,10,"$2,069.77"
17162,United Kingdom,10,"$1,715.46"
17530,United Kingdom,10,"$2,385.00"
16293,United Kingdom,10,"$2,248.99"
12594,Italy,10,"$3,338.22"
14243,United Kingdom,10,"$2,588.77"
13014,United Kingdom,10,"$3,466.28"
13324,United Kingdom,10,"$7,121.95"
15150,United Kingdom,10,"$5,314.47"
13426,United Kingdom,10,"$3,641.32"
16985,United Kingdom,10,"$5,464.12"
16426,United Kingdom,10,"$1,908.25"
18061,United Kingdom,10,"$2,119.41"
17512,United Kingdom,10,"$2,924.99"
12567,France,10,"$9,401.28"
12553,France,10,"$3,692.28"
13305,United Kingdom,10,"$2,000.86"
13097,United Kingdom,10,"$6,010.42"
15356,United Kingdom,10,"$2,766.50"
16813,United Kingdom,10,"$1,692.98"
13184,United Kingdom,10,"$1,701.29"
16570,United Kingdom,10,"$3,738.40"
15033,United Kingdom,10,"$2,586.67"
17231,United Kingdom,10,"$3,174.32"
14227,United Kingdom,10,"$3,350.96"
12481,Germany,10,"$5,596.32"
13491,United Kingdom,10,"$1,215.82"
16407,United Kingdom,10,"$2,126.93"
17799,United Kingdom,10,"$3,055.93"
16794,United Kingdom,10,"$1,222.71"
12490,France,10,"$5,417.93"
13047,United Kingdom,10,"$3,237.54"
18055,United Kingdom,10,"$6,784.19"
17769,United Kingdom,10,"$3,997.98"
13769,United Kingdom,10,"$2,796.51"
16638,United Kingdom,10,"$1,680.72"
15024,United Kingdom,10,"$1,661.33"
15114,United Kingdom,10,"$2,760.56"
14426,United Kingdom,10,"$4,481.67"
18075,United Kingdom,10,"$2,611.75"
17651,United Kingdom,10,"$3,945.00"
12600,Germany,10,"$2,599.04"
15984,United Kingdom,10,"$2,837.67"
17491,United Kingdom,10,"$3,558.87"
16076,United Kingdom,10,"$2,234.73"
17218,United Kingdom,10,"$1,960.72"
13700,United Kingdom,10,"$2,265.12"
18044,United Kingdom,10,"$2,088.60"
17940,United Kingdom,10,"$4,106.44"
16710,United Kingdom,10,"$2,483.04"
12708,Germany,10,"$2,712.91"
17634,United Kingdom,9,"$2,361.97"
17069,United Kingdom,9,"$2,709.70"
12980,United Kingdom,9,"$7,374.90"
15622,United Kingdom,9,"$3,709.56"
12619,Germany,9,"$3,641.24"
14221,United Kingdom,9,"$3,432.80"
12428,Finland,9,"$7,956.46"
12705,Germany,9,"$6,868.29"
13082,United Kingdom,9,"$3,613.63"
16359,United Kingdom,9,"$1,750.92"
13021,United Kingdom,9,"$2,616.38"
15628,United Kingdom,9,"$2,870.24"
15606,United Kingdom,9,"$2,920.16"
16817,United Kingdom,9,"$1,604.75"
13183,United Kingdom,9,"$3,957.78"
14573,United Kingdom,9,"$1,653.42"
13993,United Kingdom,9,"$3,466.36"
13704,United Kingdom,9,"$2,308.06"
12626,Germany,9,"$6,620.48"
12664,Finland,9,"$4,881.88"
14299,United Kingdom,9,"$3,965.62"
17049,United Kingdom,9,"$5,659.98"
14659,United Kingdom,9,"$2,529.93"
14704,United Kingdom,9,"$1,546.91"
16019,United Kingdom,9,"$3,786.24"
13842,United Kingdom,9,"$3,385.62"
15544,United Kingdom,9,"$3,546.71"
15660,United Kingdom,9,"$1,600.86"
16365,United Kingdom,9,"$1,540.42"
13755,United Kingdom,9,"$2,161.35"
17750,United Kingdom,9,"$1,797.57"
16942,United Kingdom,9,"$1,920.59"
14211,United Kingdom,9,"$2,241.10"
17504,United Kingdom,9,"$2,997.03"
15281,United Kingdom,9,"$2,332.15"
16156,United Kingdom,9,"$3,122.04"
15602,United Kingdom,9,"$1,297.87"
14456,United Kingdom,9,"$3,062.40"
15059,United Kingdom,9,"$1,337.72"
14395,United Kingdom,9,"$3,507.71"
14083,United Kingdom,9,"$1,018.43"
14390,United Kingdom,9,"$4,652.82"
15687,United Kingdom,9,"$2,993.10"
16954,United Kingdom,9,"$2,085.08"
12584,Italy,9,"$2,338.15"
14410,United Kingdom,9,"$1,105.07"
17848,United Kingdom,9,$901.20
16265,United Kingdom,9,"$5,447.00"
14309,United Kingdom,9,"$2,352.53"
17705,United Kingdom,9,"$1,823.52"
17800,United Kingdom,9,"$1,199.01"
14701,United Kingdom,9,"$2,549.37"
17293,United Kingdom,9,"$1,875.11"
14525,United Kingdom,9,"$4,332.20"
18008,United Kingdom,9,"$2,116.19"
14587,United Kingdom,9,"$1,601.14"
15021,United Kingdom,9,"$1,914.82"
14292,United Kingdom,9,"$4,871.93"
13588,United Kingdom,9,"$2,478.95"
14258,United Kingdom,9,"$12,669.98"
14524,United Kingdom,9,"$1,867.68"
13911,United Kingdom,9,"$2,580.91"
14878,United Kingdom,9,"$1,485.54"
14901,United Kingdom,9,"$1,421.29"
17071,United Kingdom,9,"$2,429.03"
14961,United Kingdom,9,"$7,044.68"
17091,United Kingdom,9,"$3,827.76"
12957,United Kingdom,8,"$4,017.54"
17567,United Kingdom,8,"$4,331.48"
17097,Spain,8,$954.42
13093,United Kingdom,8,"$7,832.47"
17888,United Kingdom,8,$726.05
15737,United Kingdom,8,"$1,205.12"
15981,United Kingdom,8,"$3,408.48"
15632,United Kingdom,8,"$3,285.31"
15910,United Kingdom,8,"$1,232.18"
17861,United Kingdom,8,"$2,100.80"
15214,United Kingdom,8,"$1,661.44"
15750,United Kingdom,8,"$2,465.48"
14547,United Kingdom,8,"$4,007.54"
17365,United Kingdom,8,"$4,801.56"
14388,United Kingdom,8,"$3,212.84"
16910,United Kingdom,8,"$1,510.06"
15845,United Kingdom,8,"$3,711.77"
15034,United Kingdom,8,"$4,308.61"
14505,United Kingdom,8,"$5,905.64"
14541,United Kingdom,8,"$1,461.65"
14030,United Kingdom,8,"$2,360.09"
17211,United Kingdom,8,"$2,317.22"
14364,United Kingdom,8,"$3,717.35"
14730,United Kingdom,8,"$2,005.06"
15527,United Kingdom,8,"$2,429.78"
14341,United Kingdom,8,"$2,182.28"
14868,United Kingdom,8,"$2,953.59"
12352,Norway,8,"$2,506.04"
14071,United Kingdom,8,"$1,438.82"
13126,United Kingdom,8,"$2,099.64"
12423,Belgium,8,"$1,859.31"
17528,United Kingdom,8,"$3,628.50"
15410,United Kingdom,8,"$3,450.84"
16255,United Kingdom,8,"$2,619.91"
12779,Poland,8,"$3,981.36"
15860,United Kingdom,8,$977.21
12939,United Kingdom,8,"$11,581.80"
17696,United Kingdom,8,"$2,285.71"
14936,Channel Islands,8,"$8,137.02"
15304,United Kingdom,8,$694.40
12417,Belgium,8,"$3,212.80"
17629,United Kingdom,8,"$1,814.12"
15796,United Kingdom,8,"$2,711.56"
14344,United Kingdom,8,$889.93
15861,United Kingdom,8,"$3,165.36"
16180,United Kingdom,8,"$10,254.18"
12524,Germany,8,"$4,485.72"
17396,United Kingdom,8,"$7,330.80"
17368,United Kingdom,8,"$1,912.67"
12949,United Kingdom,8,"$4,167.22"
13327,United Kingdom,8,"$3,627.77"
15134,United Kingdom,8,"$1,387.99"
13862,United Kingdom,8,"$2,209.36"
15241,United Kingdom,8,"$1,756.44"
15521,United Kingdom,8,"$3,000.20"
13394,United Kingdom,8,"$2,520.02"
14334,United Kingdom,8,"$2,552.21"
17314,United Kingdom,8,"$2,527.92"
17230,United Kingdom,8,"$3,638.41"
17114,United Kingdom,8,$808.62
12843,United Kingdom,8,"$1,702.26"
15916,United Kingdom,8,"$1,528.09"
14262,United Kingdom,8,"$2,618.23"
16016,United Kingdom,8,"$1,508.76"
12704,Finland,8,"$2,340.84"
12637,France,8,"$6,021.90"
13117,United Kingdom,8,$984.91
18116,United Kingdom,8,"$1,418.03"
14472,United Kingdom,8,"$1,936.84"
15953,United Kingdom,8,"$1,659.38"
15932,United Kingdom,8,"$2,495.87"
17837,United Kingdom,8,"$1,593.38"
17173,United Kingdom,8,"$3,766.60"
14769,United Kingdom,8,"$10,674.75"
14732,United Kingdom,8,"$2,702.49"
13870,United Kingdom,8,"$2,770.94"
16316,United Kingdom,8,"$2,938.91"
16115,United Kingdom,8,"$1,667.97"
17372,United Kingdom,8,"$1,342.68"
12910,United Kingdom,8,"$3,075.04"
17228,United Kingdom,8,"$1,906.09"
17894,United Kingdom,8,"$1,119.81"
15696,United Kingdom,8,"$2,736.46"
13137,United Kingdom,8,"$3,650.41"
14808,United Kingdom,8,"$2,741.17"
17509,United Kingdom,8,"$6,115.14"
13971,United Kingdom,8,"$2,758.26"
18257,United Kingdom,8,"$2,337.63"
13012,United Kingdom,8,"$1,661.84"
15518,United Kingdom,8,"$1,942.45"
17758,United Kingdom,8,"$3,456.70"
12464,Belgium,8,"$1,212.05"
17338,United Kingdom,8,"$6,643.93"
12598,France,8,"$3,023.08"
17997,United Kingdom,8,"$1,970.67"
13725,United Kingdom,8,"$1,980.56"
13209,United Kingdom,8,"$5,891.61"
12963,United Kingdom,8,"$1,856.63"
12483,Sweden,8,"$2,484.98"
14414,United Kingdom,7,"$1,496.98"
12627,Germany,7,"$4,478.53"
13758,United Kingdom,7,"$3,190.55"
16218,United Kingdom,7,"$3,084.68"
17434,United Kingdom,7,"$2,373.82"
15370,United Kingdom,7,"$2,386.05"
15993,United Kingdom,7,"$2,797.57"
15351,United Kingdom,7,"$1,960.11"
14201,United Kingdom,7,$747.44
16455,United Kingdom,7,"$1,841.18"
17596,United Kingdom,7,"$2,827.93"
13110,United Kingdom,7,"$1,488.67"
15140,United Kingdom,7,"$2,354.25"
13804,United Kingdom,7,"$2,635.79"
15453,United Kingdom,7,"$1,388.37"
14466,United Kingdom,7,"$2,272.40"
14739,United Kingdom,7,"$3,902.28"
14107,United Kingdom,7,"$2,703.23"
14696,United Kingdom,7,"$2,078.95"
14178,United Kingdom,7,"$1,620.93"
13538,United Kingdom,7,"$1,280.85"
17449,United Kingdom,7,"$2,520.86"
16983,United Kingdom,7,"$1,931.25"
13630,United Kingdom,7,"$2,031.78"
12562,France,7,"$3,781.74"
16880,United Kingdom,7,"$1,519.08"
16332,United Kingdom,7,"$1,593.20"
14533,United Kingdom,7,"$1,949.72"
15708,United Kingdom,7,"$3,364.24"
14738,United Kingdom,7,"$1,314.45"
12599,France,7,"$1,032.58"
15299,United Kingdom,7,"$4,507.01"
17164,United Kingdom,7,"$2,467.35"
18230,United Kingdom,7,"$2,810.20"
14794,United Kingdom,7,"$1,319.91"
12494,France,7,"$1,246.10"
15260,United Kingdom,7,"$1,810.77"
17562,United Kingdom,7,"$1,122.38"
16791,United Kingdom,7,"$1,721.78"
15974,United Kingdom,7,"$3,442.15"
14854,United Kingdom,7,"$2,759.83"
15906,United Kingdom,7,"$1,567.69"
17739,United Kingdom,7,"$2,791.35"
16531,United Kingdom,7,"$1,244.59"
16609,United Kingdom,7,"$5,493.46"
16477,United Kingdom,7,"$2,494.46"
12726,France,7,"$2,609.10"
13610,United Kingdom,7,"$1,131.88"
17988,United Kingdom,7,$201.12
15270,United Kingdom,7,"$2,379.49"
13536,United Kingdom,7,"$3,448.29"
13225,United Kingdom,7,"$6,463.84"
13509,United Kingdom,7,$979.72
13340,United Kingdom,7,"$10,736.48"
15671,United Kingdom,7,"$2,657.13"
17193,United Kingdom,7,"$1,699.30"
17213,United Kingdom,7,"$2,781.23"
17323,United Kingdom,7,$921.07
16474,United Kingdom,7,"$1,871.50"
16348,United Kingdom,7,"$1,469.45"
15903,United Kingdom,7,"$5,126.76"
17686,United Kingdom,7,"$5,739.46"
16242,United Kingdom,7,"$3,603.21"
17191,United Kingdom,7,"$2,095.13"
16107,United Kingdom,7,"$3,204.16"
14329,United Kingdom,7,"$5,014.84"
16057,United Kingdom,7,"$2,263.12"
14653,United Kingdom,7,"$1,947.55"
12472,Germany,7,"$6,572.11"
17490,United Kingdom,7,"$2,092.32"
14004,United Kingdom,7,"$4,582.64"
16434,United Kingdom,7,"$1,522.25"
17133,United Kingdom,7,"$4,892.24"
14907,United Kingdom,7,"$3,501.10"
15727,United Kingdom,7,"$5,178.96"
13384,United Kingdom,7,"$4,151.93"
15105,United Kingdom,7,"$2,298.93"
18245,United Kingdom,7,"$2,567.06"
15473,United Kingdom,7,"$1,771.20"
15752,United Kingdom,7,"$2,637.38"
15443,United Kingdom,7,"$3,236.91"
16652,United Kingdom,7,"$6,773.97"
13527,United Kingdom,7,"$2,287.51"
16725,United Kingdom,7,$781.02
12935,United Kingdom,7,"$2,160.70"
15572,United Kingdom,7,"$2,552.86"
17416,United Kingdom,7,"$6,893.42"
16556,United Kingdom,7,"$3,313.79"
13437,United Kingdom,7,"$3,408.06"
14744,United Kingdom,7,"$1,099.98"
12948,United Kingdom,7,"$2,064.95"
17188,United Kingdom,7,"$2,474.23"
16466,United Kingdom,7,"$1,603.46"
17819,United Kingdom,7,"$3,704.87"
16098,United Kingdom,7,"$2,005.63"
12433,Norway,7,"$13,375.87"
13232,United Kingdom,7,"$1,357.60"
17287,United Kingdom,7,"$1,064.11"
17288,United Kingdom,7,"$1,419.73"
14976,United Kingdom,7,$790.86
17655,United Kingdom,7,"$2,638.94"
12744,Singapore,7,"$21,279.29"
13435,United Kingdom,7,"$3,809.89"
16266,United Kingdom,7,$861.89
18094,United Kingdom,7,"$3,017.30"
15379,United Kingdom,7,"$3,703.29"
12727,France,7,"$3,980.70"
15365,United Kingdom,7,"$2,314.32"
17412,United Kingdom,7,"$1,258.06"
16929,United Kingdom,7,"$1,295.39"
15987,United Kingdom,7,"$1,451.28"
16966,United Kingdom,7,"$2,154.97"
15874,United Kingdom,7,"$4,405.88"
16744,United Kingdom,7,"$1,304.76"
17591,United Kingdom,7,"$2,225.97"
14408,United Kingdom,7,"$2,606.53"
17685,United Kingdom,7,"$3,191.53"
12766,Portugal,7,"$6,989.63"
17090,United Kingdom,7,"$2,043.95"
13953,United Kingdom,7,"$3,515.68"
