customerid,InvoiceNo,month,order_count
16850,540567,1,19
13993,541006,1,18
12924,541242,1,2
13798,540130,1,2
14800,540509,1,52
17757,542406,1,18
12609,542128,1,16
14135,540269,1,8
14224,541850,1,40
16779,540462,1,16
16191,540459,1,10
16985,542603,1,14
17365,540798,1,77
13158,541995,1,19
16422,542208,1,10
14031,540396,1,10
13319,540015,1,28
18069,541262,1,76
12474,542229,1,22
16206,541240,1,25
17920,542590,1,10
14534,542085,1,28
12594,541703,1,12
15518,540819,1,1
13064,541252,1,9
15845,540374,1,13
16422,541479,1,7
18223,541708,1,1
13426,540453,1,23
15443,541847,1,51
16112,540682,1,8
13680,540275,1,21
13534,542153,1,8
15100,540563,1,1
15044,540664,1,14
14321,540595,1,29
14733,542254,1,10
15529,541658,1,59
12625,541965,1,53
16407,542716,1,20
16997,541474,1,4
14501,541881,1,4
16395,541615,1,19
14215,541103,1,37
13963,540017,1,13
12691,541981,1,9
17372,542258,1,20
15498,541950,1,19
15039,540023,1,48
13898,541435,1,12
14320,540692,1,23
17771,541678,1,22
15661,542235,1,4
17389,542230,1,7
12347,542237,1,29
17243,540498,1,10
13707,542534,1,32
14239,542388,1,9
14606,541859,1,28
12683,541405,1,21
15159,542519,1,21
16725,540093,1,17
17428,540025,1,11
15144,542709,1,19
13901,541990,1,11
14744,541867,1,5
15777,542155,1,1
15738,541408,1,12
14702,540395,1,20
17097,541576,1,23
17811,540566,1,46
15107,541109,1,2
15093,540183,1,21
14672,540482,1,34
12712,540900,1,11
17757,540536,1,25
15290,540998,1,9
14341,542111,1,16
16350,540552,1,22
16779,540857,1,7
12916,541838,1,40
14776,542710,1,22
14472,540511,1,34
14209,540817,1,16
13113,542228,1,19
13117,541984,1,8
17858,541853,1,8
13784,542630,1,1
12841,540348,1,28
15358,542268,1,36
15370,540782,1,8
14653,540185,1,29
15497,541874,1,10
14006,542728,1,7
14368,541873,1,8
17722,541566,1,30
16496,542272,1,41
14257,542000,1,39
13767,540662,1,10
16168,541976,1,5
16359,540858,1,4
13089,540261,1,13
14970,542355,1,5
15061,542143,1,6
12474,541224,1,11
13168,542112,1,76
17311,542284,1,24
14794,540548,1,9
12524,540562,1,16
17742,540704,1,13
16955,540481,1,8
17048,540990,1,15
14298,540464,1,52
16770,542608,1,54
17463,542617,1,94
15601,542058,1,23
17450,540689,1,4
13565,540537,1,13
13451,540545,1,48
12645,542369,1,16
17841,541253,1,36
13089,542620,1,19
16551,540411,1,11
13629,540166,1,3
15311,542409,1,16
14916,541594,1,15
12601,540769,1,9
14606,542217,1,18
17389,541124,1,1
13491,542151,1,12
14217,540457,1,4
17450,540691,1,44
17118,542214,1,10
15107,540797,1,1
15311,542003,1,25
13593,540489,1,39
17576,541511,1,20
17068,542667,1,32
13599,540358,1,9
17288,541290,1,5
13758,540513,1,9
12731,542629,1,46
12747,541677,1,5
18062,540263,1,5
14233,542223,1,6
14130,541987,1,67
13842,540412,1,18
12489,540463,1,15
14828,540405,1,5
14426,542627,1,40
16029,541992,1,3
15864,542411,1,6
16670,541420,1,1
17849,540630,1,8
13183,540502,1,20
14221,540094,1,18
17375,542741,1,22
17609,541265,1,100
16133,542131,1,11
17491,541473,1,8
18092,541106,1,2
14514,540980,1,26
17329,542585,1,16
17239,542623,1,15
15316,541276,1,1
12539,540550,1,93
15547,542520,1,34
18106,541205,1,39
13198,542103,1,52
13491,540702,1,10
14049,542192,1,110
14646,541608,1,2
14680,542084,1,21
14796,541872,1,49
18233,541426,1,1
15179,541970,1,44
17621,542708,1,11
17450,540698,1,23
14270,540849,1,29
12820,541283,1,11
14135,541278,1,5
16477,541866,1,26
15373,542220,1,3
13750,540452,1,1
17569,540827,1,29
14527,540169,1,24
15271,540265,1,16
13969,541793,1,19
12826,542347,1,24
12951,541002,1,14
13144,540777,1,3
15194,540413,1,20
16843,541263,1,19
16676,540316,1,29
15738,542659,1,10
15727,540979,1,32
13694,540999,1,18
12997,542247,1,15
15835,541003,1,15
15615,541134,1,25
13458,540268,1,53
12540,540801,1,31
13929,541400,1,2
12422,541520,1,13
15513,541088,1,19
15298,541521,1,7
14502,542618,1,43
15797,541983,1,1
17540,542386,1,8
15513,542349,1,11
13534,540456,1,11
12557,540785,1,4
12626,542375,1,6
17739,540671,1,7
15213,542081,1,2
15061,540648,1,15
12527,541480,1,10
17685,541207,1,16
15607,540460,1,13
15867,540687,1,27
15799,540541,1,22
17744,541107,1,15
17457,540059,1,4
13310,541590,1,27
12970,541799,1,2
15601,542407,1,19
15291,541436,1,5
17677,542093,1,16
13328,542397,1,17
13614,541087,1,9
16839,541227,1,6
14688,542678,1,17
15281,540672,1,50
15311,541293,1,35
14669,540813,1,56
12383,540971,1,31
12559,541877,1,20
12413,540365,1,24
14450,541841,1,11
17082,542122,1,24
16351,540750,1,8
13694,540122,1,23
16730,541973,1,14
14409,542005,1,11
17888,542224,1,15
15194,542729,1,16
15661,540173,1,1
14329,541215,1,76
18144,542079,1,3
14541,542401,1,50
12346,541431,1,1
14657,541406,1,62
13600,542731,1,19
14307,541588,1,31
14442,542269,1,30
17277,541784,1,52
13815,542080,1,53
16122,540732,1,9
14258,540277,1,31
16233,541135,1,7
13155,541273,1,11
13538,542432,1,3
13049,542133,1,7
12980,540908,1,2
14755,540530,1,27
17714,541837,1,10
14669,540803,1,54
16549,540531,1,33
15189,540802,1,5
16814,541091,1,15
15448,542634,1,28
16816,542616,1,15
15696,542549,1,1
13280,542408,1,41
18226,540259,1,21
14713,541698,1,36
14732,540060,1,10
14738,542382,1,11
13263,541509,1,39
13098,542233,1,12
12643,540789,1,2
15061,541488,1,13
12793,540519,1,17
13982,541286,1,29
16042,540822,1,2
13102,540826,1,31
17730,541362,1,17
17075,542226,1,18
14587,540953,1,88
16493,541119,1,6
12637,541631,1,72
16567,540402,1,26
17511,540176,1,34
13854,541966,1,8
15602,542718,1,7
15953,540862,1,9
15107,540542,1,5
12951,541876,1,6
17769,541839,1,34
13700,541250,1,7
13253,540096,1,16
15569,540823,1,7
13405,542146,1,6
17591,541946,1,18
15596,541292,1,21
14867,540493,1,15
13089,542722,1,3
15290,541228,1,2
12728,540824,1,13
12748,540251,1,1
12766,540546,1,35
18109,541486,1,17
18095,540809,1,16
12939,540507,1,6
15812,542212,1,2
12356,541430,1,36
12744,542102,1,56
15235,541801,1,9
14217,540753,1,4
17965,542521,1,16
17975,540031,1,30
16928,541791,1,5
14701,542360,1,57
15601,540471,1,39
17306,541814,1,6
12652,540976,1,48
16403,542715,1,10
13107,540639,1,21
14715,540955,1,13
15174,541700,1,11
15854,541226,1,5
17744,541699,1,16
13050,541846,1,17
15649,540466,1,1
16191,542725,1,2
18109,540940,1,13
15939,541505,1,1
15222,541988,1,5
16145,540121,1,17
16618,541783,1,35
16525,540991,1,6
18008,542083,1,12
13468,540770,1,7
13576,540354,1,16
18245,542647,1,28
15841,540153,1,7
17965,540859,1,52
16746,541238,1,36
15910,542345,1,42
14238,541357,1,8
17611,541848,1,103
14606,541595,1,20
13199,541108,1,1
12868,542389,1,12
16839,541812,1,3
16210,541808,1,1
17555,540520,1,49
13097,540260,1,41
17961,541411,1,1
17027,542236,1,43
15498,541684,1,106
13094,540370,1,1
14085,541014,1,27
16531,542098,1,8
13233,540477,1,17
14189,542110,1,16
16191,542743,1,2
13527,541272,1,5
16422,540383,1,6
17188,540022,1,10
16033,541417,1,42
16833,540525,1,18
17634,540288,1,74
12970,541797,1,6
15881,542759,1,1
13246,541409,1,4
18075,541996,1,17
16771,540188,1,34
14156,541220,1,41
17894,542711,1,23
16019,540409,1,17
14505,540364,1,45
13162,540501,1,37
17404,542428,1,21
15777,542154,1,1
13869,542619,1,50
12574,542425,1,11
15549,542399,1,61
12501,540458,1,149
13161,542609,1,8
13983,541391,1,1
17604,542727,1,27
12691,542132,1,1
13113,540951,1,11
16034,540794,1,9
15002,540146,1,25
13798,540800,1,6
16700,542353,1,38
12764,542276,1,45
12854,542105,1,34
13126,540113,1,18
17095,540505,1,16
17515,542121,1,31
14040,540975,1,24
12553,541138,1,38
15626,541126,1,20
13082,540245,1,7
12348,541998,1,6
16241,540098,1,57
12971,540363,1,3
12841,542631,1,11
12402,541675,1,11
13089,542145,1,1
12989,541247,1,1
16497,540641,1,15
12709,542106,1,11
12530,540410,1,13
15311,540157,1,51
17796,540506,1,35
12971,540974,1,2
13798,540126,1,10
17841,541255,1,1
12736,540688,1,4
14101,541287,1,3
16112,540159,1,2
17708,541523,1,26
15984,540180,1,12
15039,540024,1,1
16043,542174,1,17
12583,540455,1,22
17431,542613,1,43
15513,541425,1,1
17315,541669,1,19
13837,542213,1,9
14133,542470,1,16
16303,540644,1,35
13999,541788,1,15
14606,540954,1,26
13148,542610,1,32
16422,542207,1,3
14976,541270,1,16
12908,542694,1,1
17068,540996,1,6
15422,541690,1,3
17581,541202,1,22
13002,542129,1,7
13473,540690,1,12
18283,540350,1,57
13534,542152,1,11
17324,540866,1,11
15395,541483,1,7
17284,540473,1,131
16779,542724,1,13
15867,542265,1,23
16943,542114,1,21
15535,541244,1,37
15447,541011,1,9
12708,541122,1,19
13520,541569,1,25
12672,541121,1,10
14659,542526,1,50
14849,542087,1,23
15057,542423,1,22
18179,541370,1,17
13187,540397,1,37
15769,540478,1,8
13963,541860,1,6
12682,540239,1,40
15046,540242,1,29
15415,542611,1,48
14045,540258,1,3
13798,541864,1,19
16235,540840,1,7
12681,540642,1,50
15579,542602,1,26
12868,540981,1,22
18198,540467,1,19
12393,540700,1,19
13089,540994,1,47
13048,541256,1,40
12578,541115,1,70
13703,542099,1,1
14040,542595,1,38
15218,542006,1,28
14739,540182,1,6
17218,540540,1,22
16255,540013,1,34
13854,541172,1,8
13141,542528,1,15
15827,542384,1,12
15033,541213,1,64
13089,542275,1,34
13709,542578,1,31
14060,540645,1,13
15696,541274,1,31
17619,542719,1,77
14341,542113,1,7
15311,540957,1,35
12724,540835,1,11
16714,542231,1,91
15059,541840,1,1
17890,541712,1,30
18239,542636,1,2
14299,542123,1,9
17365,540799,1,2
16222,542107,1,137
14784,541606,1,4
13225,540253,1,8
17690,541282,1,50
18171,540554,1,15
12500,540553,1,5
12591,542238,1,26
15708,540514,1,44
17406,540653,1,1
15881,542746,1,1
17213,542381,1,18
17675,540120,1,22
16782,542274,1,21
17576,541513,1,1
16948,541439,1,5
13001,541285,1,31
15311,541798,1,16
14092,541796,1,19
12782,542147,1,30
14572,541604,1,57
14215,542568,1,8
16387,541732,1,4
13862,540838,1,27
13199,540181,1,2
17796,542605,1,24
14911,540547,1,13
15235,540115,1,8
15749,540815,1,3
13769,541302,1,19
18016,542584,1,21
14298,542001,1,25
13777,541137,1,4
15311,540475,1,9
15039,541886,1,27
15719,540278,1,104
14068,541862,1,24
14646,541570,1,33
16059,541260,1,31
16033,540179,1,54
15465,541836,1,4
12872,541268,1,28
13668,540504,1,24
15696,542374,1,16
14667,541291,1,25
14525,541288,1,7
15110,542026,1,9
16931,541844,1,48
17861,541916,1,8
16660,541960,1,4
15510,541043,1,1
14401,542587,1,5
16321,541657,1,4
14606,540526,1,38
13784,540829,1,4
16409,542241,1,48
16714,542234,1,1
13069,540523,1,36
13782,541241,1,36
12471,541093,1,7
14779,541655,1,31
12539,542303,1,93
12668,542713,1,50
12510,541491,1,29
17841,540538,1,31
12693,541962,1,9
14467,542692,1,15
15518,542090,1,21
13068,541865,1,1
13093,541021,1,19
15379,541676,1,33
14735,541672,1,5
14088,541789,1,93
14709,542354,1,21
17418,541649,1,12
17504,541709,1,27
14646,541711,1,106
16656,540002,1,4
14527,542065,1,11
15058,542733,1,26
14462,540020,1,3
14889,540479,1,10
15079,542538,1,23
14440,542277,1,18
16670,540697,1,21
13396,541968,1,15
13983,541371,1,34
15227,542246,1,16
18037,541815,1,2
12415,540267,1,46
13313,539993,1,17
14606,540014,1,58
17128,540517,1,14
14618,540274,1,5
14978,542221,1,36
15061,540939,1,2
16019,542533,1,2
14553,540095,1,23
12664,541756,1,5
17841,540943,1,34
16791,540839,1,53
15023,541489,1,68
13551,541978,1,4
14299,540345,1,9
12681,542735,1,18
12484,540469,1,98
14185,540970,1,3
12451,541518,1,101
15171,540983,1,5
15159,541208,1,11
16814,542390,1,17
14189,540148,1,22
15820,541948,1,17
15311,541216,1,27
15266,540184,1,6
16897,542601,1,30
14062,541680,1,16
17419,541522,1,18
14242,541428,1,8
17114,540512,1,29
15687,541111,1,22
16558,541875,1,19
12474,541125,1,2
14810,540508,1,16
17243,541835,1,9
17019,541012,1,41
14646,541206,1,79
13764,540353,1,69
13089,541410,1,51
14090,541525,1,1
17389,540985,1,3
12853,542431,1,20
16839,540407,1,11
16306,540387,1,13
17364,540992,1,49
14662,542419,1,24
18161,541947,1,15
14680,540276,1,21
13754,542242,1,8
17091,541524,1,37
13984,541490,1,4
16497,542125,1,12
12421,541980,1,11
12415,540557,1,1
16353,540174,1,1
15039,540568,1,42
14769,541530,1,35
15358,540187,1,41
14735,541671,1,15
17256,542723,1,12
14085,541683,1,31
12841,541571,1,24
13102,540522,1,16
17373,542649,1,17
15464,540247,1,157
12359,540946,1,16
16600,540167,1,9
15673,541266,1,53
16719,540161,1,16
17862,541664,1,11
18136,541949,1,18
13280,540373,1,37
14299,541114,1,1
17811,542149,1,10
12877,541181,1,3
15465,540500,1,5
12626,541269,1,53
16701,540906,1,9
14782,541884,1,6
12971,540534,1,2
14040,542320,1,5
15059,540515,1,29
17381,540636,1,1
14911,542216,1,52
14415,541504,1,27
12472,542215,1,42
13141,542543,1,16
14395,540543,1,36
17338,540968,1,66
16983,541858,1,14
14595,542606,1,5
13267,540915,1,16
14911,542278,1,21
12490,541120,1,43
12528,542621,1,31
15808,540099,1,41
15326,540604,1,29
17799,541963,1,11
17580,542717,1,41
16814,541484,1,12
13715,540168,1,52
12665,541517,1,3
12480,540480,1,42
14047,540399,1,1
14744,542712,1,5
17368,540997,1,8
14175,541204,1,16
15078,541977,1,18
13819,541880,1,13
15058,542737,1,35
17180,542420,1,54
17368,540273,1,17
14135,540703,1,15
12523,540851,1,7
17800,540528,1,12
15606,541568,1,10
12651,540521,1,9
15611,540510,1,3
13094,540004,1,1
18212,541414,1,43
12673,541277,1,23
17094,541792,1,14
16326,540516,1,30
16775,541113,1,12
14180,540028,1,13
16395,541038,1,41
13742,541855,1,95
16326,542597,1,13
14911,541434,1,10
18097,540001,1,9
13001,542126,1,5
12779,541267,1,25
18239,541813,1,21
17735,542219,1,35
14210,540027,1,22
12386,540280,1,2
16282,540016,1,11
15570,541214,1,30
15061,540649,1,8
15939,540947,1,11
16029,540029,1,1
13004,542370,1,26
17841,541587,1,14
17236,542096,1,24
16523,542506,1,26
13093,540357,1,42
14692,541795,1,27
14735,541673,1,3
18118,541485,1,99
13090,541203,1,3
16191,540454,1,8
12748,540257,1,13
13659,541843,1,62
12735,542535,1,21
15379,540349,1,42
14606,541289,1,40
14298,542002,1,18
16353,540855,1,7
13656,540362,1,31
14527,542673,1,14
12726,542433,1,19
17799,541816,1,73
15527,542511,1,9
18145,542662,1,42
16655,540856,1,39
15535,541246,1,1
17585,540240,1,28
14688,541429,1,19
18095,542707,1,5
16500,541001,1,1
15298,540249,1,15
13284,540993,1,13
17841,542612,1,25
17889,541832,1,12
13246,541094,1,36
13506,542377,1,9
17841,542243,1,17
12921,540149,1,24
15296,541280,1,61
14911,541670,1,21
13615,541989,1,23
18223,541279,1,32
16882,542267,1,1
13089,540162,1,6
15881,542745,1,23
16532,540175,1,1
18077,541997,1,27
17406,540647,1,93
14114,541010,1,11
17220,542646,1,37
17001,541986,1,20
15602,540842,1,1
14770,541682,1,17
17402,541217,1,3
15422,541679,1,3
14176,541275,1,4
15167,541845,1,41
14543,542025,1,6
17063,544798,2,11
15796,543626,2,19
17961,543012,2,2
13799,544411,2,16
15046,543630,2,11
12676,542911,2,12
13672,543747,2,3
14180,544150,2,7
17949,544699,2,1
13777,543024,2,12
17675,544810,2,18
16726,544408,2,9
17165,545214,2,10
15129,544472,2,14
16814,543095,2,11
13798,544168,2,2
18109,543529,2,9
13489,544354,2,6
13089,544788,2,36
16716,542909,2,1
13742,545015,2,10
14078,545170,2,7
17830,544835,2,11
15910,544837,2,36
13623,544060,2,15
13089,544191,2,30
15808,543277,2,61
17236,543799,2,5
12931,543994,2,4
15981,542896,2,4
15039,544112,2,30
15874,545158,2,5
16210,543047,2,4
16011,544675,2,11
16907,544666,2,31
18065,544903,2,23
17937,543823,2,4
17226,543190,2,21
17147,542779,2,18
15547,545060,2,63
14477,544079,2,1
13157,543919,2,11
13414,544154,2,1
15805,544894,2,36
13862,544607,2,15
15858,544795,2,58
17323,544464,2,32
14959,544162,2,22
13208,543164,2,26
13668,543120,2,20
16509,544095,2,13
14609,544152,2,1
13854,542907,2,4
13951,544421,2,12
16686,543306,2,103
17135,544702,2,12
17849,543294,2,7
18087,544612,2,1
18219,544176,2,6
14692,543807,2,12
17686,543555,2,68
15281,545000,2,12
17507,543162,2,45
16745,542836,2,47
15203,542870,2,20
15235,543132,2,14
16191,543735,2,10
13381,543832,2,24
13309,543196,2,34
14897,544091,2,10
17428,543457,2,9
15606,544825,2,9
14411,542933,2,14
18196,544677,2,78
13854,544794,2,4
14606,544407,2,1
16748,543127,2,4
17829,543911,2,30
16187,545162,2,22
17612,543993,2,18
12373,542887,2,14
17291,543202,2,1
12594,544399,2,13
12845,544662,2,21
15932,544806,2,16
17613,543293,2,41
17757,544485,2,20
16746,544445,2,59
13468,543618,2,8
17315,543477,2,1
13777,544199,2,6
17912,543019,2,2
12365,544574,2,21
13893,544035,2,21
14048,543371,2,85
12523,544585,2,8
17075,544646,2,28
13534,543395,2,1
14462,543240,2,2
14046,545182,2,14
16321,543372,2,2
16427,545187,2,4
12857,543597,2,34
14606,542862,2,49
14289,544791,2,19
13848,543991,2,3
16814,544405,2,11
14631,543824,2,12
15971,542919,2,4
16057,545081,2,40
15885,543134,2,1
15024,544151,2,14
14735,543038,2,5
15311,544062,2,27
16013,543674,2,3
12921,545023,2,41
13911,543921,2,15
15311,544777,2,24
17083,543519,2,20
16525,544308,2,4
12621,544573,2,22
14309,543045,2,10
17214,544453,2,19
13489,544797,2,1
13798,545030,2,5
16084,543820,2,38
15544,543652,2,34
16656,544482,2,7
17667,543821,2,53
14606,543979,2,39
13767,544314,2,14
17706,544694,2,24
16573,544668,2,16
15856,543774,2,20
12616,544069,2,11
12993,543934,2,8
14176,544061,2,2
15996,545071,2,33
18068,544805,2,1
17571,543973,2,44
16931,544460,2,67
12414,543027,2,7
14810,543272,2,16
14587,542881,2,30
16255,543369,2,29
13963,543249,2,9
15465,543797,2,9
16110,542898,2,115
16161,543642,2,19
15189,544929,2,3
15827,543446,2,8
12779,543214,2,9
12437,543030,2,10
14549,542895,2,56
13955,543332,2,11
18159,543754,2,23
14309,544180,2,8
17446,543025,2,5
18198,542927,2,8
13151,544286,2,74
16684,543099,2,34
18125,544304,2,42
16306,544430,2,1
14665,544102,2,14
17358,543547,2,17
16265,543447,2,48
13089,544190,2,15
16422,543287,2,6
17858,543455,2,2
12458,545084,2,19
12921,543759,2,12
17881,543482,2,8
15640,543814,2,25
15311,542890,2,79
18093,543594,2,19
15046,542996,2,9
18223,545014,2,27
15093,545019,2,29
12395,543733,2,14
15226,542989,2,8
13606,542859,2,3
13581,543126,2,10
16161,542914,2,29
13777,544915,2,5
12712,542782,2,11
17288,544329,2,3
14527,545155,2,11
13149,544802,2,18
13168,544465,2,25
15827,543520,2,1
12956,543282,2,19
17027,545166,2,42
15543,544913,2,28
15781,543283,2,5
16359,543553,2,14
16607,543542,2,14
15984,544813,2,13
16518,545213,2,11
16897,543813,2,7
12897,543693,2,2
12599,543459,2,14
12841,544941,2,11
13534,543393,2,10
14156,543828,2,76
17655,545074,2,12
14702,544335,2,13
14842,543253,2,2
14243,544885,2,20
18198,544912,2,9
17230,542994,2,16
18114,544659,2,28
12682,542904,2,19
13475,543910,2,23
15769,543831,2,10
14701,544040,2,51
16431,544067,2,20
14560,543601,2,4
12600,543048,2,8
17811,543801,2,9
14606,544803,2,31
16945,543374,2,17
17516,545055,2,1
17454,543808,2,29
14560,543183,2,3
15407,543351,2,11
12990,543032,2,3
16765,544426,2,1
17675,542780,2,22
14825,544077,2,34
13865,544779,2,7
14180,542900,2,8
12576,543411,2,19
17139,544824,2,131
13410,544582,2,8
16612,542790,2,18
17863,542928,2,27
18151,544688,2,17
17162,543342,2,29
16333,544478,2,1
13468,542990,2,9
17050,544462,2,68
17940,543549,2,5
15270,543011,2,9
12601,543550,2,6
17516,545053,2,64
12913,543748,2,7
16570,542788,2,15
12781,545072,2,15
14540,543129,2,11
15321,544484,2,38
16913,544654,2,8
16556,544316,2,43
16992,545082,2,26
13184,544687,2,20
12464,543117,2,6
16431,544068,2,30
16546,544637,2,19
16979,543983,2,11
16912,544611,2,3
17511,542789,2,58
14298,544295,2,58
14502,544467,2,73
18188,544663,2,16
14744,544039,2,3
18178,543123,2,19
13590,543534,2,13
15358,543982,2,12
12823,544155,2,1
12662,543121,2,19
17499,544692,2,40
14911,544210,2,14
17517,543189,2,11
13694,543169,2,3
14527,544043,2,1
16378,543005,2,10
14733,543554,2,12
12462,543541,2,40
14298,544296,2,2
14754,544280,2,15
18118,543309,2,57
13718,544277,2,7
16126,544111,2,22
13684,545038,2,30
16725,543245,2,23
14276,544695,2,19
14895,544657,2,118
15577,543352,2,4
16434,543804,2,26
14680,544392,2,22
13494,542863,2,18
15658,543106,2,10
13090,544816,2,6
17376,542899,2,13
16945,543373,2,10
16997,544925,2,4
17377,544916,2,19
12372,544157,2,20
16030,543094,2,29
14646,544480,2,43
14211,544322,2,5
14099,544313,2,17
17663,545021,2,19
16013,543675,2,1
14606,543281,2,30
13784,542892,2,1
17841,544311,2,49
17034,544939,2,6
17711,544774,2,13
15951,545050,2,22
12423,544474,2,15
13113,543232,2,14
17422,544179,2,17
17472,543812,2,65
17811,543839,2,3
14573,545036,2,29
13345,544934,2,20
13819,543658,2,12
16725,543639,2,19
15235,545076,2,9
14475,543391,2,16
12509,545181,2,7
18075,543483,2,5
12707,544470,2,33
15939,545026,2,4
15311,543124,2,29
14438,543280,2,9
14465,543593,2,7
16145,544801,2,18
12775,542894,2,12
15421,543021,2,16
14410,543284,2,8
13199,544129,2,6
14233,542930,2,9
16745,543278,2,11
13971,545052,2,16
13230,544336,2,31
14415,543474,2,52
14085,543108,2,27
12507,543822,2,13
14555,543641,2,16
16156,542993,2,18
14156,543114,2,40
12621,543900,2,30
17560,542944,2,4
17894,545067,2,29
13584,543275,2,24
14371,544328,2,4
14156,544075,2,23
12678,545086,2,13
14798,543031,2,6
13576,543029,2,4
17356,542796,2,19
15838,542921,2,2
16875,544163,2,2
12502,543055,2,31
13113,544658,2,11
16401,544404,2,5
16998,543479,2,1
12464,545140,2,3
12365,544578,2,1
15845,544943,2,27
13069,543264,2,24
14231,544888,2,19
13093,545013,2,17
17949,544698,2,1
16393,544393,2,32
15550,543739,2,12
17811,544450,2,109
17314,542786,2,21
13102,543098,2,10
16011,542902,2,10
16333,543842,2,1
14606,543115,2,19
13717,543915,2,21
18041,543009,2,10
17685,543252,2,12
15601,543984,2,29
14688,544638,2,12
12766,544495,2,43
13305,544195,2,6
14944,544158,2,6
13694,544651,2,23
15044,543736,2,30
13750,544093,2,7
15311,543463,2,33
17838,544459,2,34
16422,542889,2,2
14878,544448,2,18
14646,544672,2,44
14606,542800,2,2
14880,544898,2,8
14312,543003,2,8
17388,544999,2,1
17994,544634,2,44
17223,543036,2,19
16265,544409,2,35
14755,544167,2,27
12748,544686,2,4
12559,542926,2,1
14176,544058,2,16
13744,544461,2,53
16422,544769,2,5
16321,543376,2,2
12455,544097,2,41
13725,544443,2,1
13767,544602,2,11
13636,545064,2,11
13178,544299,2,25
17175,544181,2,27
