customerid,country,rep_customer,revenue
16931,United Kingdom,21,4604.22
17068,United Kingdom,21,4552.14
16523,United Kingdom,21,9418.47
18041,United Kingdom,21,4183.39
17865,United Kingdom,20,10526.32
18229,United Kingdom,20,7276.9
18172,United Kingdom,20,7561.68
17017,United Kingdom,20,8694.26
17377,United Kingdom,20,4100.92
16672,United Kingdom,20,8134.94
16705,United Kingdom,20,14034.99
16558,United Kingdom,20,8338.49
14895,United Kingdom,20,11138.71
16033,United Kingdom,20,8816.4
13881,United Kingdom,20,17159.52
12621,Germany,20,13689.67
13267,United Kingdom,19,4521.49
14031,United Kingdom,19,17286.86
14060,United Kingdom,19,6140.42
14397,United Kingdom,19,2612.96
16161,United Kingdom,19,5575.56
15838,United Kingdom,19,33643.08
15513,United Kingdom,19,14758.22
17306,United Kingdom,19,8631.31
16945,United Kingdom,19,4345.5
16923,United Kingdom,19,7247.61
17735,United Kingdom,19,13110.02
17576,United Kingdom,19,3622.68
16458,United Kingdom,18,3482.74
16210,United Kingdom,18,21086.3
16746,United Kingdom,18,6697.66
15465,United Kingdom,18,7354.62
15290,United Kingdom,18,7943.22
14562,United Kingdom,18,5074.77
14534,United Kingdom,18,4447.05
14085,United Kingdom,18,4448.54
13969,United Kingdom,18,9053.94
13418,United Kingdom,18,6127.43
13576,United Kingdom,18,6717.34
13004,United Kingdom,18,5655.91
12474,Germany,18,7375.79
12437,France,18,4951.41
12540,Spain,17,13400.24
13050,United Kingdom,17,5836.86
14057,United Kingdom,17,6217.96
14096,United Kingdom,17,65164.79
14217,United Kingdom,17,2004.98
14702,United Kingdom,17,3292.14
14796,United Kingdom,17,8022.49
15044,United Kingdom,17,7700.23
15144,United Kingdom,17,6580.44
15805,United Kingdom,17,5528.48
16745,United Kingdom,17,7194.3
16626,United Kingdom,17,4413.1
16928,United Kingdom,17,2847.6
17238,United Kingdom,17,3744.65
17706,United Kingdom,17,10504.49
17920,United Kingdom,17,4204.1
18198,United Kingdom,17,5425.56
18241,United Kingdom,17,2073.09
18283,United Kingdom,16,2094.88
16843,United Kingdom,16,10196.57
16904,United Kingdom,16,3754.27
16592,United Kingdom,16,4113.68
15555,United Kingdom,16,4805.17
15738,United Kingdom,16,4812.42
16011,United Kingdom,16,3362.71
15187,United Kingdom,16,4777.18
14680,United Kingdom,16,28754.11
14367,United Kingdom,16,9261.52
14543,United Kingdom,16,3630.33
14282,United Kingdom,15,3729.34
14189,United Kingdom,15,4654.08
14135,United Kingdom,15,4690.31
13985,United Kingdom,15,7060.13
13695,United Kingdom,15,2504.13
12989,United Kingdom,15,6924.11
13269,United Kingdom,15,5346.23
17404,Sweden,15,31906.82
12683,France,15,8476.57
12709,Germany,15,9736.52
12931,United Kingdom,15,42055.96
12583,France,15,7281.38
15125,United Kingdom,15,11528.48
15046,United Kingdom,15,5213.77
15291,United Kingdom,15,4668.3
15194,United Kingdom,15,7616.53
15271,United Kingdom,15,2507.07
15867,United Kingdom,15,3812.64
15939,United Kingdom,15,6115.01
15640,United Kingdom,15,12515.66
16656,United Kingdom,15,8625.8
16187,United Kingdom,15,6911.44
16713,United Kingdom,15,6923.13
17346,United Kingdom,15,2676.56
17611,United Kingdom,15,3984.22
17690,United Kingdom,15,4757.95
17719,United Kingdom,15,5396.04
17790,United Kingdom,14,1965.55
18065,United Kingdom,14,2392.83
17965,United Kingdom,14,2622.57
18223,United Kingdom,14,6484.54
17613,United Kingdom,14,4559.15
17220,United Kingdom,14,3198.25
16326,United Kingdom,14,3110.96
16607,United Kingdom,14,3347.71
15694,United Kingdom,14,6479.4
15827,United Kingdom,14,1836.09
15547,United Kingdom,14,4954.84
15601,United Kingdom,14,6776.56
15955,United Kingdom,14,4416.26
12839,United Kingdom,14,5591.42
13458,United Kingdom,14,9646.57
13230,United Kingdom,14,2806.97
13090,United Kingdom,14,8910.82
13756,United Kingdom,14,5189.52
14092,United Kingdom,14,4076.91
14607,United Kingdom,14,16569.5
14709,United Kingdom,13,4921.04
14191,United Kingdom,13,4684.76
14401,United Kingdom,13,4051.48
14415,United Kingdom,13,5900.28
14088,United Kingdom,13,50491.81
13709,United Kingdom,13,6328.05
13871,United Kingdom,13,6403.25
13880,United Kingdom,13,3219.77
13001,United Kingdom,13,9818.82
13013,United Kingdom,13,4810.94
13488,United Kingdom,13,8968.31
12712,Germany,13,4396.13
12757,Portugal,13,7857.1
12431,Australia,13,5514.67
15611,United Kingdom,13,1591.45
15581,United Kingdom,13,3679.97
15804,United Kingdom,13,4206.39
15719,United Kingdom,13,5045.61
15249,United Kingdom,13,6688.46
15152,United Kingdom,13,4745.69
16393,United Kingdom,13,3046.21
16191,United Kingdom,13,5180.52
16241,United Kingdom,13,2607.87
16722,United Kingdom,13,4730.81
16700,United Kingdom,13,5076.55
16701,United Kingdom,13,5398.3
16782,United Kingdom,13,2279.9
16764,United Kingdom,13,2799.25
17402,United Kingdom,13,2633.85
17975,United Kingdom,13,4488.81
17730,United Kingdom,13,5298.48
17858,United Kingdom,12,5155.66
17652,United Kingdom,12,4867.72
17659,United Kingdom,12,2999.46
18073,United Kingdom,12,3877.52
18144,United Kingdom,12,2888.75
17809,United Kingdom,12,5411.91
17870,United Kingdom,12,1894.35
17954,United Kingdom,12,2332.72
18225,United Kingdom,12,5509.12
17419,United Kingdom,12,4226.57
17139,United Kingdom,12,10668.47
16678,United Kingdom,12,3109.99
16401,United Kingdom,12,4098.32
16553,United Kingdom,12,5719.82
14944,United Kingdom,12,5900.25
15298,United Kingdom,12,4799.9
15301,United Kingdom,12,5070.35
15235,United Kingdom,12,2247.51
15373,United Kingdom,12,2415.91
15482,United Kingdom,12,11054.96
15502,United Kingdom,12,10384.93
15570,United Kingdom,12,4165.52
15971,United Kingdom,12,4199.85
15854,United Kingdom,12,2974.65
16186,United Kingdom,12,4006.94
12395,Belgium,12,3018.63
12678,France,12,17628.46
12647,Germany,12,3722.82
12731,France,12,18895.91
12877,United Kingdom,12,1535.77
13552,United Kingdom,12,3740.07
13571,United Kingdom,12,2092.32
13266,United Kingdom,12,3834.26
13094,United Kingdom,12,1927.32
13148,United Kingdom,12,3707.12
13999,United Kingdom,12,3901.81
13983,United Kingdom,12,2603.43
13742,United Kingdom,12,3131.02
14062,United Kingdom,12,10464.85
14040,United Kingdom,12,3614.92
14110,United Kingdom,12,5683.15
14800,United Kingdom,12,4339.74
14866,United Kingdom,12,14389.9
14733,United Kingdom,12,9585.91
14825,United Kingdom,12,2226.91
14810,United Kingdom,11,2087.88
14755,United Kingdom,11,5010.28
14776,United Kingdom,11,2538.3
14711,United Kingdom,11,2868.8
14713,United Kingdom,11,2666.36
14462,United Kingdom,11,2004.02
14502,United Kingdom,11,2470.67
14239,United Kingdom,11,2380.85
14291,United Kingdom,11,3883.25
14132,United Kingdom,11,3586.03
14159,United Kingdom,11,4693.01
14099,United Kingdom,11,3104.17
14032,United Kingdom,11,2975.59
13784,United Kingdom,11,2462.79
13178,United Kingdom,11,5725.47
13081,United Kingdom,11,28337.38
13268,United Kingdom,11,3214.69
13629,United Kingdom,11,7792.36
13631,United Kingdom,11,3070.42
12955,United Kingdom,11,4757.16
12747,United Kingdom,11,4196.01
12662,Germany,11,3849.78
12476,Germany,11,6816.42
12500,Germany,11,4257.82
12523,France,11,1789.77
16145,United Kingdom,11,3799.49
15514,United Kingdom,11,4139.46
15529,United Kingdom,11,3995.23
15251,United Kingdom,11,10484.99
15218,United Kingdom,11,5756.89
14952,United Kingdom,11,8099.49
15023,United Kingdom,11,6802.76
15058,United Kingdom,11,2124.99
15129,United Kingdom,11,3447.4
16670,United Kingdom,11,4095.9
16712,United Kingdom,11,3645.43
16767,United Kingdom,11,5580.6
16775,United Kingdom,11,1695.66
17001,United Kingdom,11,3989.57
17061,United Kingdom,11,5232.23
16912,United Kingdom,11,2575.38
16919,United Kingdom,11,2596.45
16818,United Kingdom,11,3349.57
16837,United Kingdom,11,3170.98
17644,United Kingdom,11,2895.64
17364,United Kingdom,11,4481.18
17340,United Kingdom,11,12353.29
18226,United Kingdom,11,5228.05
18077,United Kingdom,11,2633.01
18092,United Kingdom,11,9068.26
17716,United Kingdom,11,5655.99
17725,United Kingdom,11,3439.08
